ID,Avg_Temperature,Radiation,Rain_Amount,Wind_Speed,Wind_Direction
85023,25.16,23.11,3.6,10.33,208.9
85024,22.37,20.39,9.45,8.03,98.56
85025,25.48,20.59,4.66,18.06,89.62
85026,25.17,21.97,5.43,10.48,116.42
85027,24.74,22.21,3.46,8.84,122.83
85028,25.34,22.39,0.65,10.34,79.11
85029,25.32,22.56,0.0,9.97,97.05
85030,25.3,22.23,0.0,10.98,86.22
85031,25.33,22.27,0.33,10.89,75.93
85032,25.53,22.23,2.2,11.39,74.19
85033,25.79,22.38,4.26,12.16,85.43
85034,25.57,22.33,5.24,13.55,98.78
85035,25.6,23.62,7.92,12.68,126.8
85036,25.55,24.01,6.92,9.96,133.48
85037,26.23,23.7,1.38,8.9,67.97
85038,26.04,24.1,3.37,7.69,227.61
85039,26.17,23.41,0.12,10.88,62.31
85040,26.28,23.71,0.0,9.33,57.44
85041,20.94,21.7,3.99,8.64,81.34
85042,19.72,20.55,6.02,6.15,107.23
85043,26.43,23.25,0.61,9.4,44.1
85044,25.63,22.36,1.94,8.99,60.83
85045,25.29,22.41,1.61,11.75,101.95
85046,24.97,22.58,2.56,15.95,98.08
85047,25.28,23.59,0.0,11.37,87.04
85048,25.15,22.11,1.6,14.26,73.41
85049,21.13,22.78,0.0,9.08,56.69
85050,22.19,22.01,0.07,6.55,70.21
85051,25.76,22.55,2.0,10.33,156.71
85052,25.75,23.53,3.69,10.28,211.6
85053,23.74,22.38,6.24,7.48,148.56
85054,24.21,20.86,6.46,10.59,105.86
85055,25.44,22.4,5.39,10.98,119.43
85056,25.23,22.76,6.22,7.78,168.76
85057,25.32,23.03,3.91,7.19,149.32
85058,25.55,23.43,2.77,7.23,155.44
85059,25.61,23.31,2.18,8.59,145.77
85060,25.65,23.36,2.85,8.82,139.82
85061,25.76,23.19,4.62,9.1,133.45
85062,25.92,23.0,6.19,9.52,131.83
85063,25.93,23.11,7.54,9.99,139.67
85064,25.66,22.98,6.21,12.29,125.64
85065,25.52,24.72,8.54,9.91,144.06
85066,25.47,25.06,5.73,5.78,185.63
85067,26.12,23.86,4.16,6.76,144.25
85068,25.93,24.24,4.04,5.78,158.63
85069,26.38,24.49,1.33,6.14,125.86
85070,26.4,24.55,0.87,6.04,124.85
85071,25.63,24.25,0.97,6.17,118.92
85072,19.16,22.3,5.32,3.91,72.94
85073,26.36,23.82,0.0,6.99,181.66
85074,26.34,23.43,2.21,6.76,206.62
85075,26.03,23.18,0.0,9.63,202.2
85076,25.44,22.82,3.89,14.68,65.87
85077,25.43,22.5,5.97,17.94,84.0
85078,26.19,23.53,2.16,7.44,171.13
85079,26.23,21.5,5.2,15.86,78.92
85080,21.12,22.31,0.0,8.15,62.64
85081,25.68,21.77,3.35,12.23,98.92
85082,26.34,22.71,3.43,11.08,153.41
85083,26.05,22.88,4.31,12.53,164.74
85084,23.22,20.59,10.29,8.19,106.82
85085,26.39,20.88,5.05,18.67,98.41
85086,26.37,21.72,8.04,10.1,172.93
85087,25.1,21.43,7.67,6.98,185.71
85088,26.22,21.81,5.62,8.76,149.57
85089,26.1,22.05,5.9,8.65,181.61
85090,26.17,21.77,4.63,10.42,142.81
85091,26.4,22.14,5.42,9.8,151.6
85092,26.46,22.12,6.14,10.7,146.19
85093,25.15,21.69,2.99,11.07,106.85
85094,22.93,20.52,4.66,10.06,113.53
85095,25.99,21.72,0.58,13.88,126.6
85096,26.52,21.88,5.63,8.35,192.38
85097,26.15,21.95,2.5,7.91,183.36
85098,26.08,22.7,1.92,12.11,107.75
85099,25.81,22.51,1.92,9.84,117.75
85100,26.37,22.82,0.0,8.61,89.4
85101,26.12,22.43,0.35,8.54,98.89
85102,19.5,20.64,8.3,5.13,79.98
85103,26.52,21.81,1.01,8.88,170.38
85104,26.66,21.55,4.53,8.43,195.9
85105,25.78,21.23,2.81,9.43,168.98
85106,25.83,22.28,2.99,14.01,113.09
85107,25.88,22.36,5.54,18.14,105.4
85108,26.29,22.85,2.52,9.53,114.69
85109,25.82,21.36,4.48,15.26,93.9
85110,21.96,21.45,2.92,9.09,85.5
85111,25.04,21.26,3.8,11.12,130.79
85112,26.54,22.52,4.58,12.69,177.85
85113,25.99,22.46,5.62,12.21,183.18
85114,23.32,20.22,10.65,8.36,117.48
85115,26.33,20.66,5.86,18.03,113.83
85116,26.17,21.16,9.12,10.4,171.33
85117,25.13,20.98,8.52,7.53,183.39
85118,26.1,21.23,6.13,9.37,142.99
85119,25.99,21.42,6.41,8.98,168.47
85120,26.06,21.25,5.24,10.41,138.0
85121,26.24,21.51,5.76,9.81,141.8
85122,26.3,21.52,6.61,10.35,136.03
85123,26.31,21.68,7.25,11.11,129.73
85124,26.28,22.27,7.83,12.23,135.82
85125,26.09,23.03,8.48,12.84,146.48
85126,25.85,23.08,7.28,10.77,164.88
85127,26.57,22.21,6.01,7.51,177.25
85128,26.47,23.01,3.77,10.52,131.43
85129,26.19,22.9,3.83,10.19,132.14
85130,26.62,23.0,1.9,9.16,112.93
85131,21.36,21.41,7.51,8.11,92.33
85132,20.26,20.39,7.18,6.53,115.11
85133,26.76,21.78,3.45,8.6,169.29
85134,25.9,20.95,3.98,8.63,185.32
85135,25.6,21.55,2.46,11.54,149.36
85136,25.59,22.48,3.67,16.66,119.8
85137,25.74,22.31,3.27,15.43,127.79
85138,25.67,22.14,3.78,12.78,110.65
85139,24.35,22.46,0.0,14.3,86.4
85140,22.01,22.01,0.16,8.42,86.1
85141,25.74,22.13,2.46,11.47,145.9
85142,26.52,23.35,3.19,13.18,182.34
85143,25.5,23.01,4.36,10.85,166.53
85144,23.78,21.18,8.87,7.47,122.94
85145,26.65,22.47,3.55,16.69,126.27
85146,26.15,22.53,7.11,8.97,194.17
85147,25.29,22.35,5.03,6.91,180.78
85148,25.96,22.84,3.03,7.46,178.37
85149,25.98,22.97,2.68,8.64,186.34
85150,26.09,22.94,2.11,9.5,165.86
85151,26.29,23.13,3.11,9.2,170.62
85152,26.42,22.97,4.47,9.48,164.52
85153,26.52,23.02,5.32,9.8,159.91
85154,26.52,23.67,6.28,10.47,161.86
85155,26.3,24.64,7.33,11.45,166.63
85156,25.92,25.13,7.28,9.83,184.44
85157,25.84,24.67,3.65,4.75,262.5
85158,26.3,24.24,0.85,8.25,185.17
85159,26.42,24.39,1.38,6.3,231.2
85160,26.8,24.62,1.1,7.39,238.23
85161,23.33,23.15,9.72,8.86,150.85
85162,20.11,23.14,5.79,5.75,70.97
85163,26.46,23.44,1.08,8.24,207.24
85164,26.14,22.87,6.59,8.24,226.34
85165,24.57,23.03,5.94,9.04,179.28
85166,24.94,23.16,4.94,14.56,79.5
85167,25.47,22.87,8.82,13.35,148.18
85168,25.83,22.36,11.52,9.82,199.49
85169,25.12,21.61,7.62,13.82,70.22
85170,21.79,22.83,0.93,8.33,63.37
85171,25.81,21.93,9.14,11.58,119.04
85172,26.03,22.57,9.17,11.04,158.51
85173,25.07,22.6,9.04,12.1,134.48
85174,23.01,20.46,12.95,8.31,102.03
85175,25.8,20.92,6.27,17.83,94.66
85176,26.44,21.22,11.0,9.93,181.19
85177,24.97,20.7,10.86,7.02,179.04
85178,25.97,21.07,9.16,8.49,154.94
85179,25.78,21.21,8.86,8.63,171.57
85180,25.87,21.09,7.35,9.86,136.0
85181,26.06,21.44,7.84,9.19,142.26
85182,26.16,21.57,7.88,10.05,135.85
85183,23.85,20.81,4.67,10.19,108.17
85184,23.18,20.08,5.87,10.39,117.14
85185,25.74,21.25,2.42,12.45,131.31
85186,25.92,21.3,7.37,7.8,171.9
85187,25.45,21.4,3.66,8.25,137.92
85188,25.23,21.59,4.99,11.69,107.85
85189,25.28,21.67,3.49,8.87,104.06
85190,25.63,21.71,2.17,8.62,77.35
85191,25.33,21.38,3.3,8.29,92.59
85192,19.44,19.67,10.45,4.5,82.91
85193,26.15,20.98,4.92,8.73,160.7
85194,26.24,20.83,7.95,8.42,171.82
85195,25.36,20.4,5.79,9.27,138.68
85196,25.63,21.41,5.82,13.91,112.87
85197,25.66,21.39,8.39,17.94,109.62
85198,26.0,21.83,5.72,8.82,113.07
85199,25.8,20.54,6.64,14.89,99.77
85200,22.29,20.5,6.3,9.2,96.15
85201,24.86,20.44,6.72,10.8,138.74
85202,26.23,21.7,7.29,12.01,191.98
85203,25.86,21.73,8.05,12.27,196.84
85204,23.11,19.52,12.52,8.25,124.25
85205,26.05,19.65,7.8,17.2,118.45
85206,26.06,20.3,11.38,10.59,166.93
85207,25.02,20.13,11.24,7.63,186.62
85208,25.93,20.35,8.57,9.69,140.3
85209,25.77,20.43,8.96,9.02,159.87
85210,25.86,20.35,7.38,10.28,131.27
85211,26.01,20.58,7.61,9.63,133.81
85212,26.07,20.65,8.11,10.11,127.12
85213,26.04,20.77,8.79,10.73,120.01
85214,26.04,21.3,9.12,11.69,129.09
85215,25.89,21.93,9.45,11.9,145.59
85216,25.75,21.74,8.25,9.32,165.25
85217,26.36,21.41,6.98,7.92,143.9
85218,26.09,21.86,6.21,10.85,130.44
85219,25.86,21.69,6.51,11.28,123.93
85220,26.16,21.7,4.9,10.04,95.27
85221,20.92,20.21,9.51,7.83,88.32
85222,20.26,19.2,9.72,6.37,118.21
85223,26.51,20.82,7.07,8.65,130.28
85224,25.62,19.86,7.11,8.63,133.8
85225,25.43,20.34,5.13,11.37,121.62
85226,25.49,21.25,6.47,16.65,119.7
85227,25.57,20.96,6.4,13.99,126.78
85228,25.6,20.98,6.35,13.39,104.42
85229,23.59,21.69,1.22,12.73,91.94
85230,22.23,20.88,3.59,8.05,100.08
85231,25.77,21.39,5.15,11.3,166.18
85232,26.18,22.57,5.91,12.57,204.54
85233,25.09,21.95,7.03,9.87,173.96
85234,23.8,20.24,10.62,7.47,132.83
85235,26.34,21.65,5.82,14.87,134.95
85236,25.89,21.79,9.01,8.7,188.58
85237,25.19,21.63,6.96,6.94,177.34
85238,25.7,21.93,4.88,7.32,172.29
85239,25.72,22.1,4.46,8.42,177.63
85240,25.8,22.1,4.09,9.12,162.26
85241,25.96,22.19,5.13,8.88,162.32
85242,26.11,22.07,6.29,9.1,155.21
85243,26.22,22.17,6.97,9.39,152.66
85244,26.21,22.85,7.8,9.95,158.19
85245,25.99,23.78,8.79,10.61,168.51
85246,25.63,24.14,8.94,8.5,194.2
85247,25.66,23.41,4.3,4.86,243.81
85248,25.82,23.45,2.24,6.38,210.89
85249,26.17,23.7,2.93,5.98,216.89
85250,25.95,23.62,5.86,7.44,209.47
85251,23.04,22.31,10.85,8.41,141.16
85252,19.85,22.11,7.43,4.98,70.86
85253,25.76,22.59,2.96,7.6,162.75
85254,24.97,22.02,8.47,7.22,165.35
85255,24.33,22.16,8.35,8.46,150.94
85256,24.82,22.29,7.31,14.16,91.63
85257,25.26,21.93,11.08,13.89,150.09
85258,25.62,21.59,12.74,9.89,187.93
85259,25.05,20.92,8.96,13.91,74.76
85260,22.46,21.19,6.18,9.07,79.58
85261,25.43,21.05,10.73,11.13,118.11
85262,25.86,21.69,10.8,10.97,156.39
85263,25.17,21.66,10.81,12.29,137.31
85264,22.8,19.97,14.0,9.33,105.96
85265,25.66,20.55,8.09,16.82,97.28
85266,26.56,20.73,11.74,11.09,150.09
85267,24.93,19.93,12.91,7.09,170.32
85268,25.84,20.27,10.17,8.83,132.63
85269,25.63,20.45,9.86,8.66,151.81
85270,25.72,20.4,8.05,9.9,117.34
85271,25.88,20.71,8.09,9.28,117.42
85272,26.03,21.0,7.38,10.18,112.22
85273,22.95,19.97,7.11,9.45,111.87
85274,23.15,19.42,6.55,9.56,130.49
85275,25.74,20.71,3.23,11.22,139.48
85276,25.7,20.72,7.16,8.3,119.45
85277,25.19,20.63,4.67,9.28,107.7
85278,25.06,20.61,7.63,13.21,123.91
85279,25.19,20.59,5.79,10.99,79.01
85280,25.54,20.7,3.64,10.69,45.94
85281,24.95,20.24,5.07,10.09,65.23
85282,19.46,18.57,12.57,4.82,88.02
85283,26.0,20.45,6.47,9.22,128.23
85284,26.17,20.5,8.25,8.81,139.58
85285,25.06,19.72,8.06,9.42,99.94
85286,25.04,19.56,9.07,13.1,93.82
85287,25.54,20.47,10.22,18.47,101.97
85288,25.73,20.78,8.12,11.17,102.38
85289,26.11,20.11,8.87,14.59,94.1
85290,23.15,20.09,7.51,11.22,97.68
85291,24.28,19.82,8.58,10.4,132.78
85292,25.97,21.13,8.23,11.48,210.1
85293,25.93,21.53,8.56,12.73,227.86
85294,23.42,19.55,11.91,8.9,143.5
85295,25.5,18.95,8.58,15.25,122.35
85296,26.0,20.12,11.27,11.44,148.95
85297,25.13,19.88,12.14,8.18,186.01
85298,25.78,20.01,9.13,9.96,139.31
85299,25.71,20.08,9.32,9.45,149.77
85300,25.79,20.09,8.0,10.24,129.03
85301,25.9,20.23,8.09,9.73,128.44
85302,25.96,20.3,8.46,9.96,122.36
85303,25.96,20.41,8.99,10.39,117.55
85304,25.98,20.85,9.06,11.13,127.69
85305,25.89,21.38,9.04,11.12,146.93
85306,25.86,21.17,8.13,8.72,161.52
85307,26.27,21.05,6.93,8.73,119.2
85308,25.84,21.12,7.58,11.6,129.53
85309,25.69,21.0,8.21,12.83,123.38
85310,25.92,20.94,6.7,11.29,84.84
85311,21.17,19.53,10.73,8.15,87.51
85312,21.08,18.93,11.2,6.8,112.6
85313,26.38,20.4,8.91,9.28,99.68
85314,25.59,19.44,9.35,9.06,99.82
85315,25.34,19.49,7.81,11.28,103.31
85316,25.6,20.56,8.3,16.43,121.02
85317,25.59,20.18,8.94,14.4,127.23
85318,25.87,20.37,8.96,12.79,111.9
85319,23.95,20.97,4.14,12.8,102.47
85320,22.48,20.03,7.0,8.06,113.39
85321,25.65,20.76,7.45,11.16,184.23
85322,25.97,21.84,8.11,12.39,225.42
85323,24.89,20.99,9.19,9.7,184.37
85324,23.71,19.22,12.23,7.63,139.27
85325,26.06,20.57,7.96,13.98,137.64
85326,25.7,20.83,11.17,8.86,182.29
85327,25.06,20.63,9.32,7.23,175.37
85328,25.54,20.73,7.04,7.78,159.65
85329,25.53,20.91,6.98,8.37,168.16
85330,25.58,20.88,6.73,8.99,154.01
85331,25.71,20.93,7.64,8.7,150.58
85332,25.86,20.88,8.5,8.87,143.02
85333,25.97,21.08,8.89,9.2,142.62
85334,25.95,21.8,9.43,9.74,152.56
85335,25.75,22.65,10.14,10.11,168.65
85336,25.43,22.96,11.01,8.11,197.24
85337,25.47,22.91,11.12,3.26,266.34
85338,25.84,22.48,10.4,3.55,320.97
85339,26.02,22.5,10.34,6.05,290.3
85340,24.38,21.56,15.35,8.8,204.44
85341,22.17,21.52,12.95,7.79,115.56
85342,19.67,20.68,10.49,4.14,67.97
85343,24.05,20.89,8.29,7.35,97.69
85344,24.56,21.04,12.47,7.19,131.05
85345,24.43,21.34,10.4,9.29,163.92
85346,24.83,21.12,10.42,15.92,89.17
85347,24.94,20.68,13.85,13.68,175.85
85348,25.49,20.33,14.4,11.07,162.3
85349,24.42,20.02,10.77,13.72,69.21
85350,22.98,19.78,11.41,8.9,80.19
85351,25.0,20.25,11.26,10.73,114.91
85352,25.71,21.04,11.25,11.25,156.87
85353,25.21,20.96,11.64,12.88,143.92
85354,22.97,19.01,14.87,9.35,107.86
85355,25.5,19.53,9.54,17.29,98.03
85356,26.25,20.07,12.5,11.19,143.4
85357,24.87,19.44,13.05,7.22,152.57
85358,25.6,19.61,10.38,8.5,120.71
85359,25.46,19.89,10.2,8.8,133.3
85360,25.52,19.85,8.73,9.88,105.73
85361,25.64,20.04,8.71,9.47,99.5
85362,25.79,20.16,8.42,9.74,95.83
85363,22.94,19.3,8.06,9.15,107.95
85364,23.76,19.07,6.61,9.62,134.51
85365,25.85,20.55,5.25,10.45,138.53
85366,25.69,20.25,7.19,8.33,93.93
85367,25.2,20.09,5.61,9.61,98.24
85368,25.08,20.18,8.72,12.97,134.27
85369,25.24,20.13,6.87,10.76,70.1
85370,25.51,20.14,4.83,10.67,42.12
85371,24.45,19.38,7.12,9.84,61.52
85372,19.36,17.94,14.12,4.85,95.42
85373,25.91,19.83,7.92,8.99,112.83
85374,26.06,19.85,9.22,8.5,113.19
85375,25.13,19.28,8.14,9.89,86.14
85376,25.03,18.66,10.53,14.81,89.57
85377,25.54,19.39,10.94,20.18,89.49
85378,25.88,20.11,7.46,10.77,89.56
85379,25.83,19.17,9.38,15.65,93.39
85380,22.31,19.28,7.99,9.69,95.79
85381,24.7,19.36,7.92,11.33,136.19
85382,26.15,21.03,7.46,12.06,213.84
85383,25.95,21.22,7.56,13.08,221.81
85384,23.04,18.72,12.25,8.69,130.28
85385,25.9,18.76,7.81,17.41,118.64
85386,25.95,19.79,10.85,11.24,147.98
85387,25.01,19.63,10.64,7.97,175.27
85388,25.8,19.69,7.11,10.28,119.51
85389,25.67,19.81,7.48,9.69,133.19
85390,25.72,19.78,6.37,10.71,113.47
85391,25.83,19.93,6.37,10.23,109.95
85392,25.9,20.01,6.91,10.45,104.96
85393,25.89,20.15,7.69,11.01,103.38
85394,25.76,20.4,7.5,11.58,118.2
85395,26.04,20.42,3.25,10.63,162.28
85396,26.05,20.57,6.24,9.19,116.04
85397,26.27,21.02,3.98,9.18,70.3
85398,26.0,21.18,6.7,12.15,159.75
85399,25.89,20.73,6.63,12.61,106.13
85400,26.12,20.74,4.42,11.47,59.69
85401,20.91,18.98,10.0,8.25,82.81
85402,26.5,20.65,4.93,10.1,57.8
85403,26.36,20.43,5.35,9.47,52.88
85404,25.69,19.78,6.83,9.91,58.46
85405,25.48,19.88,7.65,11.94,83.39
85406,25.78,20.49,8.45,15.7,105.66
85407,26.05,20.69,7.14,11.74,108.15
85408,26.33,19.91,7.96,13.15,78.77
85409,23.27,19.48,8.21,10.9,90.13
85410,23.84,19.42,9.52,9.16,127.71
85411,25.92,20.72,8.41,10.58,213.42
85412,25.82,21.24,9.47,11.18,233.4
85413,23.42,19.41,12.02,8.13,136.48
85414,25.28,18.65,8.95,14.43,116.7
85415,25.65,19.88,11.17,10.95,129.33
85416,25.11,19.96,11.51,8.25,162.53
85417,25.63,19.92,9.08,9.94,117.71
85418,25.58,19.92,9.55,9.38,126.91
85419,25.64,19.86,9.13,9.91,117.57
85420,25.76,19.9,9.62,9.52,115.77
85421,25.85,19.91,10.46,9.7,111.88
85422,25.88,20.02,11.18,10.19,110.61
85423,25.89,20.48,11.4,10.8,123.32
85424,25.75,21.14,11.54,10.77,142.98
85425,25.58,21.61,11.03,9.37,161.56
85426,25.64,21.85,9.22,5.8,179.62
85427,26.06,21.77,7.26,4.02,194.87
85428,26.16,21.41,7.76,5.97,167.55
85429,25.92,21.46,7.12,7.3,114.54
85430,20.91,20.02,10.09,7.0,88.26
85431,20.49,19.08,10.4,5.69,104.8
85432,23.9,19.55,7.12,8.86,126.69
85433,25.88,20.22,6.88,7.87,122.1
85434,25.4,20.05,4.8,10.61,105.53
85435,25.98,20.94,7.96,18.78,87.49
85436,25.66,20.22,7.83,18.47,120.76
85437,26.09,20.49,6.51,10.12,117.0
85438,25.23,19.83,6.26,15.32,84.03
85439,21.9,19.43,5.45,8.43,82.46
85440,25.09,19.85,5.8,10.36,144.31
85441,26.36,21.6,4.74,12.17,207.93
85442,25.81,21.66,5.56,12.58,201.95
85443,23.3,19.14,13.02,6.69,124.32
85444,26.39,20.55,6.94,16.6,124.53
85445,25.88,21.07,10.1,9.1,175.38
85446,25.17,20.96,7.92,7.08,172.57
85447,25.76,21.17,4.97,7.93,152.32
85448,25.74,21.44,4.74,8.7,166.29
85449,25.78,21.39,4.08,9.72,146.89
85450,25.91,21.5,4.96,9.43,145.6
85451,26.07,21.41,6.21,9.61,140.13
85452,26.2,21.52,7.0,9.87,139.8
85453,26.17,22.19,7.23,10.93,141.39
85454,26.04,23.28,8.6,11.44,154.12
85455,25.73,23.9,9.36,10.77,165.34
85456,25.59,23.95,7.68,5.64,217.92
85457,25.9,23.28,1.7,6.8,193.58
85458,26.15,23.5,2.35,6.41,180.61
85459,26.53,23.7,2.14,6.82,164.02
85460,24.79,23.02,5.13,8.25,122.47
85461,19.87,21.77,7.12,5.54,73.06
85462,20.74,20.92,6.6,5.63,77.56
85463,26.24,22.3,5.84,8.18,173.26
85464,25.41,22.49,5.91,8.61,235.27
85465,24.31,21.91,4.41,12.64,124.31
85466,25.07,21.44,9.42,19.6,62.12
85467,25.36,22.54,4.97,9.24,166.54
85468,25.54,20.77,7.34,15.57,65.47
85469,22.76,20.9,4.73,11.76,55.95
85470,22.96,21.61,1.46,9.46,75.5
85471,25.78,22.31,2.62,11.32,130.51
85472,25.9,22.58,2.62,12.94,154.82
85473,24.18,21.51,4.89,12.53,119.09
85474,23.35,19.64,8.93,10.89,103.96
85475,26.14,20.94,2.3,18.26,96.03
85476,25.97,21.38,5.66,9.52,157.66
85477,24.94,21.1,4.29,7.4,137.89
85478,25.65,21.37,1.04,8.81,108.85
85479,25.58,21.6,0.77,9.74,110.18
85480,25.63,21.5,0.38,10.83,88.35
85481,25.84,21.8,0.59,10.86,87.34
85482,25.16,21.56,1.05,11.77,88.81
85483,22.56,20.3,4.35,9.37,115.41
85484,25.16,21.08,0.0,12.92,148.74
85485,26.01,22.06,2.37,9.51,111.16
85486,25.8,22.32,0.0,8.54,75.86
85487,25.34,21.9,3.89,11.67,141.77
85488,25.38,21.73,3.89,12.34,91.77
85489,25.82,22.25,0.0,10.41,28.71
85490,25.48,21.54,0.79,11.33,39.89
85491,24.05,21.22,2.19,8.95,57.87
85492,24.76,21.42,2.24,8.5,79.9
85493,25.85,21.81,2.07,8.45,105.14
85494,25.95,21.86,3.3,8.35,96.32
85495,25.28,21.42,4.59,9.3,76.48
85496,25.61,21.65,5.02,12.76,100.72
85497,25.9,22.26,5.13,13.52,105.44
85498,26.13,22.79,4.56,11.32,88.78
85499,26.37,22.58,4.43,11.54,64.83
85500,25.51,21.57,6.36,11.93,72.92
85501,24.69,21.4,7.32,9.8,93.05
85502,25.41,21.58,7.34,9.58,124.34
85503,25.91,21.87,8.11,9.26,145.75
85504,25.34,21.86,9.42,8.83,120.1
85505,24.76,20.96,9.8,9.46,95.77
85506,26.27,21.61,6.39,12.93,107.06
85507,26.43,21.93,8.23,10.46,132.43
85508,26.23,22.05,8.72,9.97,135.7
85509,26.47,22.33,7.49,11.69,109.06
85510,26.44,22.29,6.5,11.09,92.54
85511,26.53,22.24,5.87,10.88,86.38
85512,26.59,22.25,5.91,10.53,88.5
85513,26.37,22.1,6.55,10.47,88.74
85514,25.87,21.8,7.12,10.08,100.28
85515,26.56,22.08,6.0,9.52,134.01
85516,25.83,21.93,7.19,8.87,97.26
85517,25.66,21.8,7.3,11.46,107.27
85518,25.88,22.1,6.12,11.34,107.71
85519,26.34,22.44,4.77,10.13,97.14
85520,26.37,22.31,4.55,9.18,95.28
85521,26.26,22.14,4.47,10.08,86.74
85522,26.4,22.25,5.0,10.1,84.25
85523,26.44,22.3,5.35,9.97,89.77
85524,26.47,22.43,5.58,9.75,101.38
85525,26.47,22.64,5.55,9.59,115.76
85526,26.46,22.91,5.49,9.57,133.4
85527,26.47,23.07,5.49,9.25,147.0
85528,26.62,23.11,5.03,8.14,145.3
85529,26.82,22.76,5.05,7.98,125.07
85530,25.76,21.61,8.56,9.57,99.27
85531,23.34,21.01,9.71,8.07,88.87
85532,23.58,20.5,9.01,8.48,110.25
85533,25.92,21.28,7.02,10.32,137.64
85534,26.11,21.45,9.36,8.52,150.77
85535,25.52,21.28,7.83,10.71,122.13
85536,26.07,21.57,8.32,17.44,108.92
85537,26.25,21.41,6.85,13.78,117.59
85538,26.62,21.32,5.96,13.34,84.22
85539,25.17,20.66,6.39,13.57,89.0
85540,25.37,20.94,6.31,11.36,99.19
85541,26.53,21.53,5.88,11.74,136.74
85542,26.67,21.47,7.43,12.23,141.56
85543,25.36,20.52,11.07,11.1,109.99
85544,25.44,20.15,10.46,13.11,102.63
85545,27.01,21.37,8.26,13.74,127.59
85546,26.27,20.62,12.46,8.21,156.86
85547,26.4,22.19,10.67,9.45,169.25
85548,26.5,22.09,8.98,10.14,141.72
85549,26.69,21.86,6.39,10.01,98.63
85550,26.57,21.28,6.31,10.41,99.55
85551,25.41,21.0,6.59,10.09,98.05
85552,24.27,20.79,6.98,9.06,102.91
85553,26.64,21.71,5.47,10.87,92.57
85554,26.52,21.62,5.42,10.98,105.66
85555,26.3,21.43,5.95,9.97,109.05
85556,26.24,21.89,5.72,12.98,111.31
85557,26.2,21.97,5.77,12.86,116.47
85558,26.46,22.16,4.4,10.36,95.35
85559,26.42,21.63,5.13,10.93,69.42
85560,25.8,21.32,6.18,10.07,81.83
85561,25.95,21.38,6.55,9.66,96.04
85562,26.29,21.44,6.89,9.73,121.14
85563,26.69,21.61,9.03,9.76,137.58
85564,25.71,21.13,10.49,8.99,107.07
85565,26.22,20.83,8.59,13.08,107.88
